# Topic name : 3D
# Description : 3D refers to the use of three-dimensional graphics, modeling, and animation in various industries.
# Github topic URL : https://github.com/topics/3d
user_name,repo_name,repo_url,forks,stars,tags,languages_used
mrdoob,three.js,https://github.com/mrdoob/three.js,35100.0,95200.0,"['javascript', 'svg', 'webgl', 'html5', 'canvas', 'augmented-reality', 'webaudio', 'virtual-reality', 'webgl2', '3d', 'webgpu', 'webxr']","{'JavaScript': '51.3%', 'HTML': '41.2%', 'Roff': '3.0%', 'SCSS': '2.9%', 'CSS': '1.6%'}"
pmndrs,react-three-fiber,https://github.com/pmndrs/react-three-fiber,1400.0,24200.0,"['react', 'threejs', 'animation', 'renderer', 'fiber', '3d']",{'TypeScript': '99.5%'}
libgdx,libgdx,https://github.com/libgdx/libgdx,6500.0,22100.0,"['android', 'game', 'java', 'windows', 'linux', 'ios', 'gamedev', 'framework', 'html5', 'cross-platform', 'game-engine', 'libgdx', 'game-development', 'macosx', '3d', '2d']","{'Java': '53.9%', 'C++': '38.4%', 'C': '6.0%', 'SWIG': '0.6%', 'GLSL': '0.4%', 'CSS': '0.2%'}"
BabylonJS,Babylon.js,https://github.com/BabylonJS/Babylon.js,3300.0,21600.0,"['webgl', 'typescript', 'game-engine', 'webvr', 'game-development', 'webaudio', 'babylon', 'webgl2', 'game-engine-3d', '3d', 'webgpu', 'webxr']","{'TypeScript': '88.2%', 'JavaScript': '4.5%', 'HLSL': '4.1%', 'SCSS': '1.5%', 'Roff': '1.3%', 'HTML': '0.4%'}"
ssloy,tinyrenderer,https://github.com/ssloy/tinyrenderer,1800.0,18100.0,"['learning', 'c-plus-plus', 'fun', 'tutorial', 'opengl', 'cpp', 'shaders', 'picture', 'graphics', 'software-rendering', 'engine', 'rendering', 'images', 'computer-graphics', 'pixels', 'rasterizer', 'rendering-engine', 'rendering-pipeline', '3d', '3d-graphics']","{'C++': '97.8%', 'CMake': '1.8%', 'Dockerfile': '0.4%'}"
lettier,3d-game-shaders-for-beginners,https://github.com/lettier/3d-game-shaders-for-beginners,1300.0,16200.0,"['gamedev', 'webgl', 'opengl', 'unity', 'shaders', 'graphics', 'vulkan', 'game-development', 'glsl', 'shader', 'unity3d', 'godot', 'graphics-programming', 'hlsl', 'panda3d', 'glsl-shader', 'indiedev', 'glsl-shaders', '3d', '3d-graphics']","{'C++': '63.3%', 'GLSL': '35.7%'}"
aframevr,aframe,https://github.com/aframevr/aframe,3800.0,15700.0,"['html', 'gamedev', 'webgl', 'threejs', 'game-engine', 'augmented-reality', 'vr', 'webvr', 'virtualreality', 'vive', 'oculus', 'rift', 'game-development', 'ecs', 'aframe', 'virtual-reality', 'metaverse', 'daydream', '3d', 'webxr']","{'JavaScript': '98.2%', 'CSS': '1.6%', 'HTML': '0.2%'}"
FreeCAD,FreeCAD,https://github.com/FreeCAD/FreeCAD,3500.0,15500.0,"['windows', 'linux', 'engineering', 'architecture', 'cad', 'mac-osx', 'fem', 'coin', 'bim', 'freecad', '3d-printing', '3d', 'opencascade']","{'C++': '53.0%', 'Python': '44.1%', 'C': '1.6%', 'CMake': '0.8%', 'NSIS': '0.2%', 'Lex': '0.1%'}"
CesiumGS,cesium,https://github.com/CesiumGS/cesium,3300.0,11100.0,"['webgl', 'geospatial', 'gis', 'cesium', 'czml', 'gltf', '3d', '3d-globe', '3d-tiles']","{'JavaScript': '90.1%', 'HTML': '7.7%', 'GLSL': '2.0%', 'CSS': '0.2%', 'TypeScript': '0.0%', 'Python': '0.0%'}"
MonoGame,MonoGame,https://github.com/MonoGame/MonoGame,2800.0,10200.0,"['c-sharp', 'open-source', 'gamedev', 'xna', 'csharp', 'cross-platform', 'game-engine', 'dotnet', 'graphics', 'game-development', 'game-framework', 'monogame', 'hacktoberfest', '3d']","{'C#': '97.9%', 'HLSL': '0.8%', 'Rich': 'Text', 'Smalltalk': '0.4%', 'XSLT': '0.3%', 'Shell': '0.0%'}"
