# Topic name : API
# Description : An API (Application Programming Interface) is a collection of protocols and subroutines for building software.
# Github topic URL : https://github.com/topics/api
user_name,repo_name,repo_url,forks,stars,tags,languages_used
public-apis,public-apis,https://github.com/public-apis/public-apis,29600.0,261000.0,"['api', 'lists', 'open-source', 'list', 'development', 'public', 'resources', 'dataset', 'free', 'software', 'apis', 'public-api', 'public-apis']","{'Python': '96.8%', 'Shell': '3.2%'}"
neovim,neovim,https://github.com/neovim/neovim,4900.0,70400.0,"['c', 'vim', 'api', 'lua', 'neovim', 'nvim', 'text-editor']","{'Vim': 'Script', 'C': '29.4%', 'Lua': '26.9%', 'Python': '0.5%', 'CMake': '0.4%', 'Shell': '0.2%'}"
tiangolo,fastapi,https://github.com/tiangolo/fastapi,5400.0,63800.0,"['python', 'api', 'json', 'framework', 'web', 'rest', 'json-schema', 'async', 'swagger', 'openapi', 'python3', 'asyncio', 'swagger-ui', 'redoc', 'openapi3', 'python-types', 'uvicorn', 'starlette', 'pydantic', 'fastapi']",{'Python': '100.0%'}
strapi,strapi,https://github.com/strapi/strapi,7200.0,56900.0,"['nodejs', 'javascript', 'mysql', 'api', 'graphql', 'cms', 'koa', 'typescript', 'rest', 'dashboard', 'content-management', 'customizable', 'koa2', 'strapi', 'cms-framework', 'jamstack', 'hacktoberfest', 'content-management-system', 'headless-cms', 'no-code']","{'JavaScript': '71.0%', 'TypeScript': '27.9%'}"
hoppscotch,hoppscotch,https://github.com/hoppscotch/hoppscotch,3900.0,55900.0,"['testing', 'api', 'graphql', 'http', 'vuejs', 'spa', 'tools', 'pwa', 'rest', 'vue', 'rest-api', 'websocket', 'http-client', 'api-client', 'developer-tools', 'api-rest', 'testing-tools', 'api-testing', 'hacktoberfest']","{'TypeScript': '58.8%', 'Vue': '35.2%', 'JavaScript': '3.2%', 'SCSS': '1.9%', 'Handlebars': '0.8%', 'Dockerfile': '0.1%'}"
ocornut,imgui,https://github.com/ocornut/imgui,9100.0,51200.0,"['api', 'gamedev', 'multi-platform', 'gui', 'library', 'framework', 'ui', 'tools', 'cplusplus', 'native', 'game-engine', 'toolkit', 'imgui', 'immediate-gui', 'game-development']","{'C++': '88.4%', 'C': '9.7%', 'Objective-C++': '1.7%', 'Objective-C': '0.2%', 'GLSL': '0.0%', 'GDB': '0.0%'}"
meilisearch,meilisearch,https://github.com/meilisearch/meilisearch,1500.0,39400.0,"['search', 'api', 'rust', 'search-engine', 'database', 'rest', 'synonyms', 'customizable', 'easy-to-use', 'full-text-search', 'instantsearch', 'enterprise-search', 'out-of-the-box', 'geosearch', 'typo-tolerance', 'site-search', 'faceting', 'search-as-you-type', 'app-search']",{'Rust': '99.9%'}
slatedocs,slate,https://github.com/slatedocs/slate,22200.0,35500.0,"['api', 'static-site-generator', 'api-documentation', 'slate']","{'SCSS': '43.7%', 'Shell': '18.6%', 'JavaScript': '18.1%', 'Ruby': '12.4%', 'HTML': '6.5%', 'Dockerfile': '0.7%'}"
Kong,insomnia,https://github.com/Kong/insomnia,1700.0,30900.0,"['api', 'graphql', 'curl', 'rest-api', 'websockets', 'grpc', 'http-client', 'api-client', 'electron-app', 'api-design']","{'JavaScript': '57.8%', 'TypeScript': '40.9%', 'CSS': '1.1%', 'Shell': '0.1%', 'HTML': '0.1%', 'Dockerfile': '0.0%'}"
hasura,graphql-engine,https://github.com/hasura/graphql-engine,2700.0,30200.0,"['mysql', 'api', 'graphql', 'bigquery', 'postgres', 'haskell', 'sql-server', 'rest-api', 'graphql-server', 'access-control', 'hasura', 'graphql-api', 'automatic-api']","{'TypeScript': '49.3%', 'Haskell': '30.9%', 'JavaScript': '7.3%', 'Go': '4.4%', 'Python': '3.1%', 'C': '1.9%'}"
httpie,cli,https://github.com/httpie/cli,3800.0,29800.0,"['python', 'api', 'debugging', 'cli', 'http', 'client', 'devops', 'json', 'development', 'terminal', 'web', 'rest', 'curl', 'rest-api', 'http-client', 'api-client', 'developer-tools', 'usability', 'api-testing', 'httpie']","{'Python': '92.4%', 'Roff': '5.1%', 'Shell': '1.2%', 'Makefile': '1.1%', 'Dockerfile': '0.2%'}"
ccxt,ccxt,https://github.com/ccxt/ccxt,7200.0,29400.0,"['api', 'bot', 'library', 'crypto', 'bitcoin', 'trading', 'ethereum', 'cryptocurrency', 'exchange', 'e-commerce', 'market-data', 'strategy', 'btc', 'cryptocurrencies', 'trade', 'eth', 'arbitrage', 'altcoin', 'merchant', 'invest']","{'Python': '36.7%', 'TypeScript': '22.8%', 'JavaScript': '22.2%', 'PHP': '18.3%', 'Shell': '0.0%', 'HTML': '0.0%'}"
trpc,trpc,https://github.com/trpc/trpc,1000.0,29400.0,"['react', 'api', 'typescript', 'nextjs', 'next', 'prisma']","{'TypeScript': '86.4%', 'MDX': '10.5%', 'JavaScript': '1.7%', 'CSS': '1.4%'}"
Binaryify,NeteaseCloudMusicApi,https://github.com/Binaryify/NeteaseCloudMusicApi,14800.0,29300.0,"['nodejs', 'javascript', 'api', 'apis', 'neteasecloud', 'cloudmusic']","{'JavaScript': '87.5%', 'HTML': '12.3%'}"
