# Topic name : Ajax
# Description : Ajax is a technique for creating interactive web applications.
# Github topic URL : https://github.com/topics/ajax
user_name,repo_name,repo_url,forks,stars,tags,languages_used
ljianshu,Blog,https://github.com/ljianshu/Blog,1200.0,7700.0,"['javascript', 'css', 'vue', 'ajax']","{'JavaScript': '71.2%', 'HTML': '19.2%', 'Vue': '7.4%', 'CSS': '2.2%'}"
metafizzy,infinite-scroll,https://github.com/metafizzy/infinite-scroll,1800.0,7300.0,"['jquery-plugin', 'ui', 'ajax', 'javascript-plugin']","{'HTML': '52.3%', 'JavaScript': '46.5%', 'CSS': '1.2%'}"
olifolkerd,tabulator,https://github.com/olifolkerd/tabulator,761.0,5700.0,"['react', 'javascript', 'jquery', 'json', 'data', 'list', 'widget', 'grid', 'table', 'ajax', 'sort', 'cdnjs', 'grid-layout', 'grid-system', 'tabulator', 'tabulator-table']","{'JavaScript': '69.5%', 'SCSS': '30.5%'}"
developit,unfetch,https://github.com/developit/unfetch,233.0,5600.0,"['polyfill', 'fetch', 'xmlhttprequest', 'ajax', 'tiny', 'ponyfill', 'unfetch']","{'JavaScript': '86.2%', 'TypeScript': '13.8%'}"
jquery-form,form,https://github.com/jquery-form/form,2200.0,5200.0,"['javascript', 'jquery', 'json', 'jquery-plugin', 'ajax', 'form', 'html-form', 'ajax-form', 'json-form', 'jquery-form', 'form-serialization']","{'JavaScript': '89.9%', 'HTML': '9.7%'}"
Studio-42,elFinder,https://github.com/Studio-42/elFinder,1400.0,4500.0,"['javascript', 'php', 'html5', 'filemanager', 'integration', 'jquery-ui', 'ajax', 'elfinder', '3rd-party-connectors']","{'JavaScript': '66.5%', 'PHP': '28.9%', 'CSS': '3.9%', 'HTML': '0.7%'}"
elbywan,wretch,https://github.com/elbywan/wretch,94.0,4200.0,"['nodejs', 'javascript', 'fetch', 'http', 'json', 'typescript', 'promise', 'ajax', 'http-client', 'request', 'formdata', 'http-request']","{'TypeScript': '85.4%', 'JavaScript': '13.8%', 'Handlebars': '0.8%'}"
dwyl,learn-to-send-email-via-google-script-html-no-server,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server,948.0,3000.0,"['tutorial', 'howto', 'email', 'example', 'google-spreadsheet', 'ajax', 'form', 'static-site', 'html-form', 'no-server']","{'HTML': '55.9%', 'JavaScript': '41.1%', 'CSS': '3.0%'}"
ded,reqwest,https://github.com/ded/reqwest,354.0,2900.0,"['javascript', 'jquery', 'ajax', 'jsonp', 'reqwest']","{'JavaScript': '95.0%', 'HTML': '4.6%', 'Makefile': '0.4%'}"
wendux,ajax-hook,https://github.com/wendux/ajax-hook,487.0,2400.0,"['hooks', 'ajax', 'ajax-hook', 'xmlhttprequest-hook']","{'JavaScript': '82.7%', 'TypeScript': '17.3%'}"
LeaVerou,bliss,https://github.com/LeaVerou/bliss,146.0,2400.0,"['promises', 'events', 'dom', 'oop', 'ajax', 'es5']","{'JavaScript': '53.4%', 'HTML': '39.7%', 'CSS': '6.9%'}"
noelboss,featherlight,https://github.com/noelboss/featherlight,307.0,2100.0,"['javascript', 'jquery', 'minimal', 'lightbox', 'modals', 'ajax']","{'JavaScript': '59.7%', 'HTML': '35.0%', 'CSS': '5.3%'}"
craftpip,jquery-confirm,https://github.com/craftpip/jquery-confirm,518.0,1900.0,"['jquery', 'jquery-plugin', 'alert', 'dialog', 'modals', 'ajax', 'popup', 'callback', 'confirm']",{'JavaScript': '100.0%'}
taoensso,sente,https://github.com/taoensso/sente,197.0,1700.0,"['transit', 'clojure', 'async', 'clojurescript', 'websockets', 'ajax', 'epl', 'edn', 'taoensso', 'http-kit']",{'Clojure': '100.0%'}
nette,tracy,https://github.com/nette/tracy,222.0,1700.0,"['debugger', 'php', 'profiler', 'nette', 'nette-framework', 'ajax', 'error-handling', 'php-errors', 'tracy', 'dump-variables', 'dumper']","{'PHP': '79.0%', 'JavaScript': '8.0%', 'HTML': '7.0%', 'CSS': '5.2%'}"
loadingio,css-spinner,https://github.com/loadingio/css-spinner,231.0,1700.0,"['css', 'html', 'loader', 'ajax', 'spinner', 'loading', 'icon', 'preloader']","{'JavaScript': '52.0%', 'CSS': '27.1%', 'SCSS': '16.6%', 'HTML': '1.6%', 'Pug': '1.6%', 'Stylus': '0.8%', 'LiveScript': '0.3%'}"
k8w,tsrpc,https://github.com/k8w/tsrpc,170.0,1600.0,"['nodejs', 'express', 'node', 'framework', 'typescript', 'protobuf', 'ajax', 'grpc', 'rpc', 'full-stack', 'axios', 'backend-framework', 'server-framework', 'nestjs', 'full-stack-development', 'full-stack-developer', 'runtime-type-checking', 'typescript-rpc-framework', 'serialization-algorithm', 'typescript-serialization']","{'TypeScript': '99.3%', 'JavaScript': '0.7%'}"
joaomilho,Enterprise,https://github.com/joaomilho/Enterprise,47.0,1600.0,"['redux', 'docker', 'language', 'kubernetes', 'money', 'enterprise', 'data-science', 'cloud', 'crypto', 'progressive-web-app', 'jvm', 'quantum', 'ajax', 'artificial-intelligence', 'growth', 'enterprise-software', 'enterprise-services', 'disruptive-technology', 'enterprise-development']","{'JavaScript': '98.7%', 'Rust': '1.3%'}"
codingforentrepreneurs,eCommerce,https://github.com/codingforentrepreneurs/eCommerce,837.0,1500.0,"['python', 'bootstrap', 'jquery', 'ecommerce', 'django', 'stripe', 'card', 'ajax', 'bootstrap4', 'lookup', 'mailchimp', 'jquery-ajax', 'python3-6', 'django1-11', 'custom-queryset', 'cart-model']","{'Python': '41.8%', 'JavaScript': '32.1%', 'HTML': '14.1%', 'CSS': '12.0%'}"
u014427391,jeeplatform,https://github.com/u014427391/jeeplatform,583.0,1400.0,"['jquery', 'redis', 'thymeleaf', 'solr', 'restful', 'ajax', 'zookeeper', 'poi', 'druid', 'freemarker', 'javaee', 'ssi', 'lucene', 'aop', 'springboot', 'mybatis', 'shiro', 'springmvc', 'activiti', 'dubbo']","{'JavaScript': '67.4%', 'Java': '14.7%', 'HTML': '8.9%', 'CSS': '8.6%', 'TSQL': '0.4%'}"
