# Topic name : Algorithm
# Description : Algorithms are self-contained sequences that carry out a variety of tasks.
# Github topic URL : https://github.com/topics/algorithm
user_name,repo_name,repo_url,forks,stars,tags,languages_used
jwasham,coding-interview-university,https://github.com/jwasham/coding-interview-university,70200.0,270000.0,"['computer-science', 'algorithm', 'algorithms', 'interview', 'data-structures', 'software-engineering', 'coding-interviews', 'study-plan', 'interview-prep', 'interview-preparation', 'coding-interview', 'programming-interviews']",{}
trekhleb,javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,29000.0,177000.0,"['javascript', 'computer-science', 'algorithm', 'algorithms', 'interview', 'data-structures', 'interview-preparation', 'javascript-algorithms']",{'JavaScript': '100.0%'}
TheAlgorithms,Python,https://github.com/TheAlgorithms/Python,43100.0,172000.0,"['python', 'education', 'algorithm', 'practice', 'interview', 'sorting-algorithms', 'learn', 'algos', 'algorithm-competitions', 'sorts', 'hacktoberfest', 'algorithms-implemented', 'community-driven', 'searches']",{'Python': '100.0%'}
CyC2018,CS-Notes,https://github.com/CyC2018/CS-Notes,50600.0,168000.0,"['python', 'java', 'computer-science', 'algorithm', 'leetcode', 'cpp', 'interview', 'system-design']",{}
yangshun,tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook,12600.0,97500.0,"['algorithm', 'algorithms', 'interview-practice', 'interview-questions', 'coding-interviews', 'interview-preparation', 'system-design', 'algorithm-interview', 'behavioral-interviews', 'algorithm-interview-questions']","{'TypeScript': '88.8%', 'JavaScript': '7.9%', 'Python': '1.7%'}"
kdn251,interviews,https://github.com/kdn251/interviews,12700.0,60500.0,"['java', 'algorithm', 'algorithms', 'leetcode', 'interview', 'interviews', 'interview-practice', 'algorithm-competitions', 'leetcode-solutions', 'interview-questions', 'technical-coding-interview', 'algorithm-challenges', 'coding-interviews', 'coding-challenge', 'leetcode-questions', 'coding-challenges', 'leetcode-java', 'interview-prep', 'interview-preparation', 'coding-interview']",{'Java': '100.0%'}
TheAlgorithms,Java,https://github.com/TheAlgorithms/Java,18700.0,54500.0,"['search', 'java', 'algorithm', 'algorithms', 'sort', 'data-structures', 'sorting-algorithms', 'algorithm-challenges', 'hacktoberfest', 'algorithms-datastructures']","{'Java': '99.9%', 'Dockerfile': '0.1%'}"
azl397985856,leetcode,https://github.com/azl397985856/leetcode,9400.0,52700.0,"['javascript', 'python', 'java', 'computer-science', 'tree', 'algorithm', 'algorithms', 'leetcode', 'cpp', 'interview', 'algo', 'data-structures', 'leetcode-solutions', 'algorithms-datastructures']","{'JavaScript': '83.7%', 'Python': '15.0%', 'Ruby': '1.3%'}"
algorithm-visualizer,algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,7200.0,45000.0,"['visualization', 'algorithm', 'data-structure', 'animation']","{'JavaScript': '83.9%', 'SCSS': '13.0%', 'HTML': '1.2%'}"
youngyangyang04,leetcode-master,https://github.com/youngyangyang04/leetcode-master,10200.0,42900.0,"['javascript', 'python', 'java', 'go', 'algorithm', 'leetcode', 'cpp', 'interview', 'programmer', 'offer']",{'Shell': '100.0%'}
krahets,hello-algo,https://github.com/krahets/hello-algo,4500.0,40700.0,"['algorithm', 'data-structure', 'algorithms', 'leetcode', 'algo', 'data-structures', 'dsa', 'mkdocs-material', 'data-structures-and-algorithms']","{'Java': '18.4%', 'Swift': '18.0%', 'C++': '17.1%', 'Go': '15.4%', 'JavaScript': '15.2%', 'Python': '15.1%'}"
huihut,interview,https://github.com/huihut/interview,7600.0,30800.0,"['c', 'algorithm', 'database', 'leetcode', 'cpp', 'stl', 'interview', 'operating-system', 'data-structures', 'interviews', 'interview-practice', 'interview-questions', 'interview-preparation']","{'C++': '90.3%', 'C': '8.5%', 'CMake': '1.2%'}"
halfrost,LeetCode-Go,https://github.com/halfrost/LeetCode-Go,5600.0,30800.0,"['go', 'golang', 'facebook', 'algorithm', 'math', 'algorithms', 'leetcode', 'pattern', 'algo', 'acm-icpc', 'algorithm-competitions', 'leetcode-solutions', 'interview-questions', 'dynamic-programming', 'algorithms-and-data-structures', 'leetcode-golang', 'leetcode-go']","{'Go': '92.3%', 'HTML': '5.4%', 'SCSS': '1.3%', 'CSS': '0.4%', 'JavaScript': '0.3%', 'Python': '0.3%'}"
TheAlgorithms,JavaScript,https://github.com/TheAlgorithms/JavaScript,5200.0,29400.0,"['javascript', 'search', 'cryptography', 'algorithm', 'cipher', 'algorithms', 'mathematics', 'sort', 'data-structures', 'conversions', 'sorting-algorithms', 'algorithm-challenges', 'hacktoberfest', 'algorithms-implemented']",{'JavaScript': '100.0%'}
donnemartin,interactive-coding-challenges,https://github.com/donnemartin/interactive-coding-challenges,4500.0,28000.0,"['python', 'development', 'algorithm', 'programming', 'data-structure', 'interview', 'competitive-programming', 'coding', 'interview-practice', 'interview-questions']",{'Python': '100.0%'}
crossoverJie,JCSprout,https://github.com/crossoverJie/JCSprout,7200.0,27000.0,"['java', 'algorithm', 'jvm', 'netty', 'concurrent-programming', 'basic-java']",{'Java': '100.0%'}
