# Topic name : Android
# Description : Android is an operating system built by Google designed for mobile devices.
# Github topic URL : https://github.com/topics/android
user_name,repo_name,repo_url,forks,stars,tags,languages_used
flutter,flutter,https://github.com/flutter/flutter,26200.0,158000.0,"['android', 'windows', 'macos', 'dart', 'ios', 'mobile', 'web', 'material-design', 'cross-platform', 'desktop', 'web-framework', 'app-framework', 'flutter', 'skia', 'linux-desktop', 'fuchsia', 'mobile-development', 'dart-platform', 'flutter-package']","{'Dart': '98.7%', 'C++': '0.3%', 'Objective-C': '0.2%', 'CMake': '0.2%', 'Java': '0.1%', 'Groovy': '0.1%'}"
facebook,react-native,https://github.com/facebook/react-native,23900.0,113000.0,"['react', 'android', 'ios', 'mobile', 'react-native', 'cross-platform', 'app-framework', 'mobile-development']","{'Java': '27.7%', 'C++': '25.0%', 'JavaScript': '16.3%', 'Objective-C++': '11.7%', 'Objective-C': '9.9%', 'Kotlin': '4.4%'}"
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,27900.0,105000.0,"['react', 'javascript', 'android', 'kotlin', 'python', 'swift', 'pdf', 'ios', 'angular', 'react-native', 'programming', 'books', 'vue', 'free']",{}
Genymobile,scrcpy,https://github.com/Genymobile/scrcpy,9400.0,92800.0,"['android', 'c', 'ffmpeg', 'sdl2', 'screen', 'libav', 'recording', 'mirroring']","{'C': '69.7%', 'Java': '26.2%', 'Roff': '1.5%', 'Meson': '1.1%', 'Shell': '0.8%', 'Makefile': '0.5%'}"
Hack-with-Github,Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,8700.0,70400.0,"['android', 'security', 'awesome', 'reverse-engineering', 'pentesting-windows', 'hacking', 'penetration-testing', 'bug-bounty', 'fuzzing']",{}
Solido,awesome-flutter,https://github.com/Solido/awesome-flutter,6500.0,48900.0,"['android', 'ios', 'awesome', 'mobile', 'material-design', 'cross-platform', 'resources', 'mobile-app', 'reactive-programming', 'collections', 'awesome-list', 'flutter', 'mobile-development', 'dartlang', 'flutter-plugin', 'flutter-apps', 'flutter-plugins', 'flutter-examples']",{'Dart': '100.0%'}
google,material-design-icons,https://github.com/google/material-design-icons,9700.0,48800.0,"['android', 'ios', 'web', 'material', 'material-design', 'sprites', 'icons']",{}
wasabeef,awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,10300.0,47600.0,"['android', 'awesome', 'ui']",{}
square,okhttp,https://github.com/square/okhttp,9200.0,44600.0,"['android', 'kotlin', 'java', 'graalvm']","{'Kotlin': '80.1%', 'Java': '19.8%', 'Shell': '0.1%'}"
android,architecture-samples,https://github.com/android/architecture-samples,11600.0,43200.0,"['android', 'samples', 'android-architecture']",{'Kotlin': '100.0%'}
square,retrofit,https://github.com/square/retrofit,7400.0,42100.0,"['android', 'java']","{'Java': '95.2%', 'Kotlin': '3.0%', 'HTML': '1.4%'}"
laurent22,joplin,https://github.com/laurent22/joplin,4200.0,39200.0,"['electron', 'nodejs', 'javascript', 'android', 'react-native', 'dropbox', 'synchronisation', 'nextcloud', 'onedrive', 'webdav', 'note-taking', 'evernote', 'web-clipper', 'enex-files', 'joplin']","{'TypeScript': '64.7%', 'JavaScript': '28.6%', 'HTML': '1.7%', 'Java': '1.5%', 'CSS': '1.4%', 'Mustache': '0.8%'}"
dcloudio,uni-app,https://github.com/dcloudio/uni-app,3600.0,38700.0,"['javascript', 'android', 'ios', 'vue', 'cross-platform', 'uni', 'crossplatform', 'uniapp', 'miniprogram', 'mpvue', 'vue3', 'uni-app', 'hbuilderx']","{'JavaScript': '79.0%', 'Vue': '10.9%', 'HTML': '8.2%', 'CSS': '1.2%', 'TypeScript': '0.7%'}"
fastlane,fastlane,https://github.com/fastlane/fastlane,5600.0,37700.0,"['ruby', 'android', 'ios', 'screenshots', 'automation', 'mobile', 'deployment', 'fastlane', 'apps', 'hacktoberfest', 'hacktoberfest2021']","{'Ruby': '82.3%', 'Swift': '14.5%', 'HTML': '1.0%', 'Objective-C': '0.8%', 'Java': '0.7%', 'Shell': '0.7%'}"
appwrite,appwrite,https://github.com/appwrite/appwrite,3400.0,37500.0,"['javascript', 'android', 'swift', 'docker', 'ios', 'apple', 'firebase', 'web', 'tools', 'serverless', 'backend', 'selfhosted', 'self-hosted', 'baas', 'flutter', 'hacktoberfest', 'backend-as-a-service', 'appwrite']","{'TypeScript': '81.4%', 'PHP': '17.5%'}"
PhilJay,MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,9000.0,36900.0,"['android', 'java', 'chart', 'graph', 'mpandroidchart']",{'Java': '100.0%'}
skylot,jadx,https://github.com/skylot/jadx,4500.0,36700.0,"['android', 'java', 'decompiler', 'dex']","{'Java': '92.4%', 'Smali': '5.3%', 'Kotlin': '1.9%', 'Lex': '0.4%'}"
airbnb,lottie-android,https://github.com/airbnb/lottie-android,5400.0,34300.0,"['android', 'animation', 'airbnb', 'after-effects', 'lottie']","{'Java': '69.9%', 'Kotlin': '29.8%'}"
shadowsocks,shadowsocks-android,https://github.com/shadowsocks/shadowsocks-android,11600.0,34100.0,"['android', 'shadowsocks']","{'Kotlin': '95.8%', 'Python': '2.0%', 'Makefile': '1.2%', 'HTML': '0.5%', 'Shell': '0.2%', 'AIDL': '0.2%', 'Perl': '0.1%'}"
bumptech,glide,https://github.com/bumptech/glide,6100.0,34000.0,"['android', 'gif', 'glide', 'disk-cache', 'imageloader']","{'Java': '92.6%', 'Kotlin': '6.9%'}"
