# Topic name : Angular
# Description : Angular is an open source web application platform.
# Github topic URL : https://github.com/topics/angular
user_name,repo_name,repo_url,forks,stars,tags,languages_used
justjavac,free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN,27900.0,105000.0,"['react', 'javascript', 'android', 'kotlin', 'python', 'swift', 'pdf', 'ios', 'angular', 'react-native', 'programming', 'books', 'vue', 'free']",{}
angular,angular,https://github.com/angular/angular,24500.0,90800.0,"['javascript', 'angular', 'typescript', 'web-performance', 'web', 'pwa', 'web-framework']","{'TypeScript': '85.2%', 'JavaScript': '9.0%', 'Starlark': '2.2%', 'HTML': '1.9%', 'CSS': '1.0%', 'SCSS': '0.5%'}"
storybookjs,storybook,https://github.com/storybookjs/storybook,8800.0,80700.0,"['react', 'javascript', 'testing', 'ember', 'html', 'components', 'documentation', 'styleguide', 'design-systems', 'angular', 'typescript', 'ui', 'react-native', 'webpack', 'vue', 'web-components', 'svelte', 'storybook', 'ui-components']","{'TypeScript': '69.0%', 'JavaScript': '29.1%', 'MDX': '0.9%', 'Vue': '0.3%', 'Svelte': '0.3%', 'HTML': '0.2%'}"
leonardomso,33-js-concepts,https://github.com/leonardomso/33-js-concepts,8500.0,59500.0,"['react', 'nodejs', 'javascript', 'angular', 'programming', 'es6', 'concepts', 'es6-javascript', 'primitive-types', 'hacktoberfest', 'javascript-closures', 'javascript-programming', 'javascript-engines']",{'JavaScript': '100.0%'}
ionic-team,ionic-framework,https://github.com/ionic-team/ionic-framework,13700.0,49800.0,"['react', 'javascript', 'ios', 'angular', 'mobile', 'framework', 'typescript', 'web', 'ionic', 'pwa', 'vue', 'material-design', 'webcomponents', 'frontend', 'stencil', 'capacitor', 'stenciljs']","{'TypeScript': '55.8%', 'HTML': '29.0%', 'SCSS': '11.6%', 'JavaScript': '2.0%', 'Vue': '1.0%', 'CSS': '0.5%'}"
prettier,prettier,https://github.com/prettier/prettier,4100.0,46800.0,"['javascript', 'css', 'html', 'graphql', 'markdown', 'flow', 'yaml', 'less', 'json', 'formatter', 'angular', 'typescript', 'printer', 'vue', 'jsx', 'scss', 'prettier', 'ast']","{'JavaScript': '82.9%', 'TypeScript': '5.8%', 'CSS': '3.4%', 'HTML': '3.1%', 'SCSS': '1.8%', 'Less': '1.2%'}"
Asabeneh,30-Days-Of-JavaScript,https://github.com/Asabeneh/30-Days-Of-JavaScript,9200.0,38900.0,"['react', 'redux', 'nodejs', 'javascript', 'css', 'd3', 'html', 'challenge', 'website', 'json', 'angular', 'node', 'typescript', 'programming', 'vue', 'js', 'd3js', 'webdevelopment', 'javascript-for-everyone', '30daysofjavascript']","{'JavaScript': '98.2%', 'HTML': '1.8%'}"
SheetJS,sheetjs,https://github.com/SheetJS/sheetjs,8100.0,33700.0,"['react', 'nodejs', 'javascript', 'html', 'ios', 'json', 'data', 'angular', 'grid', 'csv', 'database', 'html5', 'vue', 'xml', 'excel', 'table', 'xlsx', 'spreadsheet', 'bun', 'deno']","{'JavaScript': '87.1%', 'TypeScript': '12.3%'}"
angular,angular-cli,https://github.com/angular/angular-cli,12100.0,26300.0,"['cli', 'angular', 'typescript', 'angular-cli']","{'TypeScript': '95.0%', 'Starlark': '2.5%', 'JavaScript': '1.3%', 'HTML': '0.7%', 'EJS': '0.3%', 'Shell': '0.2%'}"
angular,components,https://github.com/angular/components,6600.0,23700.0,"['angular', 'material', 'material-design', 'angular-components']","{'TypeScript': '81.7%', 'SCSS': '8.2%', 'HTML': '5.6%', 'Starlark': '3.2%', 'JavaScript': '0.7%', 'CSS': '0.5%', 'Shell': '0.1%'}"
NativeScript,NativeScript,https://github.com/NativeScript/NativeScript,1700.0,23100.0,"['react', 'javascript', 'android', 'kotlin', 'java', 'swift', 'ios', 'angular', 'typescript', 'vue', 'objective-c', 'cross-platform', 'svelte', 'capacitor', 'nativescript', 'flutter', 'hacktoberfest', 'solidjs', 'swiftui', 'visionpro']","{'TypeScript': '85.9%', 'Java': '10.6%', 'JavaScript': '1.4%', 'Objective-C': '1.1%', 'CSS': '0.7%', 'Shell': '0.3%'}"
goldbergyoni,javascript-testing-best-practices,https://github.com/goldbergyoni/javascript-testing-best-practices,2000.0,22500.0,"['react', 'nodejs', 'javascript', 'testing', 'angular', 'express', 'mocha', 'jest', 'ci', 'mutation-testing', 'test', 'integration-testing', 'mutation', 'chai', 'e2e-tests', 'unittest', 'e2e', 'cicd', 'contract-testing']",{'JavaScript': '100.0%'}
jhipster,generator-jhipster,https://github.com/jhipster/generator-jhipster,4000.0,20900.0,"['react', 'java', 'docker', 'kubernetes', 'angular', 'cloud', 'webpack', 'generator', 'spring-boot', 'yeoman-generator', 'jhipster', 'hacktoberfest']","{'TypeScript': '56.5%', 'Java': '17.6%', 'JavaScript': '13.8%', 'EJS': '8.3%', 'Vue': '2.0%', 'Shell': '1.0%'}"
nrwl,nx,https://github.com/nrwl/nx,2000.0,19900.0,"['react', 'nodejs', 'javascript', 'cli', 'angular', 'build', 'typescript', 'nextjs', 'monorepo', 'storybook', 'build-tool', 'build-system', 'hacktoberfest', 'cypress', 'nx', 'nx-workspaces', 'building-tool']","{'TypeScript': '97.2%', 'JavaScript': '1.5%', 'Rust': '1.1%', 'CSS': '0.1%', 'Shell': '0.1%', 'HTML': '0.0%'}"
