# Topic name : Ansible
# Description : Ansible is a simple and powerful automation engine.
# Github topic URL : https://github.com/topics/ansible
user_name,repo_name,repo_url,forks,stars,tags,languages_used
ansible,ansible,https://github.com/ansible/ansible,23800.0,59000.0,"['python', 'ansible', 'hacktoberfest']","{'Python': '87.8%', 'PowerShell': '7.0%', 'Shell': '2.7%', 'C#': '2.1%', 'Jinja': '0.4%', 'Go': '0.0%'}"
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,12500.0,58900.0,"['python', 'git', 'linux', 'docker', 'kubernetes', 'aws', 'ansible', 'devops', 'sql', 'azure', 'containers', 'terraform', 'openstack', 'interview', 'prometheus', 'coding', 'sre', 'interview-questions', 'production-engineer']","{'Python': '72.1%', 'HCL': '15.8%', 'HTML': '7.4%', 'Shell': '2.5%', 'Groovy': '2.2%'}"
trailofbits,algo,https://github.com/trailofbits/algo,2300.0,27700.0,"['security', 'ansible', 'encryption', 'ipsec', 'vpn', 'vpn-server', 'vpn-client', 'ikev2', 'strongswan', 'ssh-tunnel', 'wireguard']","{'Jinja': '48.5%', 'Python': '36.2%', 'Shell': '13.7%'}"
MichaelCade,90DaysOfDevOps,https://github.com/MichaelCade/90DaysOfDevOps,5800.0,24100.0,"['kubernetes', 'ansible', 'devops', 'backup', 'networking', 'containers', 'terraform', 'iac']","{'Shell': '39.6%', 'Go': '25.6%', 'Python': '10.1%', 'HCL': '8.9%', 'Dockerfile': '6.0%', 'Jinja': '4.4%'}"
StreisandEffect,streisand,https://github.com/StreisandEffect/streisand,2000.0,23000.0,"['ssh', 'ansible', 'openvpn', 'stunnel', 'tor', 'shadowsocks', 'vpn', 'censorship', 'openconnect', 'anyconnect', 'wireguard', 'streisand']","{'Shell': '64.8%', 'Python': '26.1%', 'HTML': '9.1%'}"
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,6200.0,14600.0,"['kubernetes', 'aws', 'ansible', 'kubernetes-cluster', 'high-availability', 'gce', 'hacktoberfest', 'bare-metal', 'kubespray', 'k8s-sig-cluster-lifecycle']","{'Jinja': '74.2%', 'HCL': '12.4%', 'Shell': '6.3%', 'Python': '6.0%', 'Dockerfile': '0.3%', 'Groovy': '0.2%'}"
ansible,awx,https://github.com/ansible/awx,3300.0,12700.0,"['python', 'ansible', 'automation', 'django', 'reactjs', 'django-rest-framework', 'hacktoberfest', 'awx']","{'Python': '52.5%', 'JavaScript': '45.9%', 'Jinja': '1.0%', 'Makefile': '0.3%', 'Shell': '0.1%', 'HTML': '0.1%'}"
easzlab,kubeasz,https://github.com/easzlab/kubeasz,3400.0,9600.0,"['docker', 'kubernetes', 'ansible', 'etcd', 'k8s', 'flannel', 'calico', 'kubeasz', 'cilium']","{'Jinja': '56.5%', 'Shell': '39.5%', 'Mustache': '4.0%'}"
ansible-semaphore,semaphore,https://github.com/ansible-semaphore/semaphore,886.0,8000.0,"['javascript', 'html', 'golang', 'ansible', 'devops', 'ci', 'cicd']","{'Go': '60.8%', 'Vue': '24.1%', 'JavaScript': '12.3%', 'Shell': '1.3%', 'Dockerfile': '1.2%', 'SCSS': '0.2%', 'HTML': '0.1%'}"
geerlingguy,ansible-for-devops,https://github.com/geerlingguy/ansible-for-devops,3200.0,7600.0,"['docker', 'kubernetes', 'aws', 'ansible', 'vagrant', 'devops', 'amazon', 'book', 'examples', 'playbook', 'leanpub', 'kindle', 'jeff-geerling']","{'Python': '71.2%', 'Jinja': '11.2%', 'Lua': '5.5%', 'Shell': '4.7%', 'PHP': '2.8%', 'HTML': '1.7%'}"
