# Topic name : Arduino
# Description : Arduino is an open source platform for building electronic devices.
# Github topic URL : https://github.com/topics/arduino
user_name,repo_name,repo_url,forks,stars,tags,languages_used
arendst,Tasmota,https://github.com/arendst/Tasmota,4500.0,20400.0,"['mqtt', 'iot', 'arduino', 'esp8266', 'automation', 'ota', 'firmware', 'esp32', 'smart-home', 'knx', 'sonoff', 'tasmota', 'tuya']","{'C': '63.2%', 'C++': '31.3%', 'HTML': '2.8%', 'Berry': '1.7%', 'Python': '0.5%', 'Jupyter': 'Notebook'}"
MarlinFirmware,Marlin,https://github.com/MarlinFirmware/Marlin,18700.0,15300.0,"['arduino', 'avr', 'firmware', 'esp32', 'atmel', 'hacktoberfest', '3d-printing', 'reprap', 'stmicro']","{'C++': '80.2%', 'C': '18.4%', 'Python': '0.6%', 'Shell': '0.4%', 'JavaScript': '0.2%', 'Makefile': '0.1%'}"
arduino,Arduino,https://github.com/arduino/Arduino,7100.0,13800.0,"['arduino', 'ide']","{'Java': '69.7%', 'Python': '29.4%'}"
tinygo-org,tinygo,https://github.com/tinygo-org/tinygo,794.0,13600.0,"['arduino', 'avr', 'arm', 'microcontroller', 'gpio', 'i2c', 'esp32', 'llvm', 'adafruit', 'stm32', 'webassembly', 'wasm', 'spi', 'microbit', 'hacktoberfest', 'nrf52', 'samd21', 'nrf51', 'wasi', 'tinygo']","{'Go': '95.2%', 'Assembly': '2.2%', 'Makefile': '1.1%', 'C++': '0.7%', 'JavaScript': '0.5%', 'C': '0.1%'}"
rwaldron,johnny-five,https://github.com/rwaldron/johnny-five,1800.0,13100.0,"['javascript', 'raspberry-pi', 'iot', 'arduino', 'beaglebone-black', 'gpio', 'serial', 'robotics', 'i2c', 'intel', 'bluetooth', 'spi', 'chip', 'tessel', 'adc', 'photon', 'pwm', '1-wire', 'pcduino', 'dac']",{'JavaScript': '99.3%'}
SpacehuhnTech,esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,2500.0,12200.0,"['arduino', 'esp8266', 'board', 'hack', 'attack', 'wifi', 'deauth', 'scanning', 'hacktoberfest', 'deauther']","{'C': '71.6%', 'C++': '24.2%', 'Python': '2.2%', 'HTML': '0.8%', 'JavaScript': '0.7%', 'CSS': '0.4%', 'Shell': '0.1%'}"
espressif,arduino-esp32,https://github.com/espressif/arduino-esp32,7000.0,11500.0,"['arduino', 'esp32', 'platformio', 'esp-idf']","{'C++': '68.9%', 'C': '28.1%', 'Python': '1.8%', 'HTML': '0.8%', 'CMake': '0.3%', 'Shell': '0.1%'}"
gurugio,lowlevelprogramming-university,https://github.com/gurugio/lowlevelprogramming-university,661.0,9000.0,"['programming-language', 'arduino', 'hardware', 'firmware', 'assembly', 'linux-kernel', 'embedded-systems', 'operating-system', 'rust-lang', 'low-level', 'system-programming', 'assembly-language-programming', 'low-level-programming', 'c-programming', 'linux-kernel-hacking']",{}
hybridgroup,gobot,https://github.com/hybridgroup/gobot,1100.0,8500.0,"['go', 'mqtt', 'raspberry-pi', 'iot', 'arduino', 'beaglebone-black', 'gpio', 'robot', 'uav', 'drone', 'robotics', 'hardware', 'i2c', 'bluetooth', 'internet-of-things', 'sphero', 'intel-joule', 'beaglebone', 'bluetooth-le', 'intel-edison']","{'Go': '97.6%', 'C': '2.3%', 'Makefile': '0.1%'}"
platformio,platformio-core,https://github.com/platformio/platformio-core,774.0,7100.0,"['debugging', 'iot', 'arduino', 'esp8266', 'avr', 'package-manager', 'unit-testing', 'arm', 'microcontroller', 'embedded', 'libraries', 'firmware', 'esp32', 'ide', 'platformio', 'build-system', 'cmsis', 'rtos', 'risc-v', 'zephyr-rtos']","{'Python': '96.5%', 'Smarty': '3.3%'}"
